,event_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_type,source_depth_km,preferred_source_magnitude,preferred_source_magnitude_type,preferred_source_magnitude_uncertainty,source_depth_uncertainty_km,source_horizontal_uncertainty_km,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_arrival_uncertainty_s,trace_P_arrival_uncertainty_s,trace_P_polarity,trace_S_onset,trace_P_onset,trace_snr_db,year,source_type_pnsn_label,source_local_magnitude,source_local_magnitude_uncertainty,source_duration_magnitude,source_duration_magnitude_uncertainty,source_hand_magnitude
0,uw61669232,2020-09-07T03:44:14.690000Z,46.56,-119.797,earthquake,23.3,1.3,ml,0.241,0.31,0.24,UW,HH,MOX,--,46.5772,-120.299,501.0,"bucket1$0,:3,:15001",100,2020-09-07T03:43:24.690000Z,6314.0,5748.0,0.06,0.03,positive,impulsive,impulsive,-1.444|2.612|9.921,2020.0,eq,1.3,0.241272646471,1.17,0.18783975947,
1,uw60888282,2014-10-08T15:39:31.330000Z,45.371,-121.708,earthquake,-0.947,1.67,ml,0.128,0.79,0.47,TA,BH,G05D,--,45.2422,-121.317,592.0,"bucket1$1,:3,:15001",100,2014-10-08T15:38:41.330000Z,6217.0,5697.0,0.06,0.03,negative,impulsive,impulsive,0.368|3.526|5.981,2014.0,eq,1.67,0.128,1.63,0.099,
2,uw61361706,2017-12-30T04:37:46.870000Z,46.165,-120.543,earthquake,13.52,2.46,ml,0.158,1.58,0.57,UW,HH,CCRK,--,46.5585,-119.855,561.0,"bucket1$2,:3,:15001",100,2017-12-30T04:36:56.870000Z,7105.0,6216.0,0.06,0.15,undecidable,impulsive,emergent,11.274|13.32|15.828,2017.0,eq,2.46,0.158,3.37,0.389,
3,uw61639436,2020-06-09T23:37:10.420000Z,46.542,-119.589,earthquake,16.37,1.59,ml,0.157,0.32,0.21,UW,HH,WA2,--,46.7552,-119.567,244.0,"bucket1$3,:3,:15001",100,2020-06-09T23:36:20.420000Z,5901.0,5524.0,0.06,0.15,undecidable,impulsive,emergent,27.007|20.797|19.252,2020.0,eq,1.59,0.156749851721,1.69,0.354773427007,
4,uw61735446,2021-05-24T10:42:37.810000Z,46.857,-121.941,earthquake,12.38,0.83,ml,0.0829829611908,0.42,0.48,CC,BH,SIFT,--,46.8668,-121.953,732.0,"bucket1$4,:3,:15001",100,2021-05-24T10:41:47.810000Z,5387.0,5225.0,0.06,0.15,undecidable,impulsive,emergent,18.579|18.912|7.609,2021.0,eq,0.83,0.0829829611908,0.5,0.381880296456,
5,uw61785862,2021-11-03T11:25:23.140000Z,46.853,-121.759,earthquake,1.62,0.78,ml,0.201,0.47,0.25,UW,HH,RCM,--,46.8356,-121.733,3085.0,"bucket1$5,:3,:15001",100,2021-11-03T11:24:33.140000Z,5153.0,5094.0,0.06,0.06,undecidable,impulsive,impulsive,3.979|2.314|3.858,2021.0,eq,0.78,0.200582578166,-0.12,0.312301126397,
6,uw61568952,2020-01-26T12:12:31.190000Z,47.694,-121.824,earthquake,22.18,2.02,ml,0.23,0.5,0.27,CC,BH,OBSR,--,46.8997,-121.815,2382.0,"bucket1$6,:3,:15001",100,2020-01-26T12:11:41.190000Z,7520.0,6452.0,0.15,0.06,positive,emergent,impulsive,13.849|16.107|13.35,2020.0,eq,2.02,0.230237382853,2.06,0.290998833229,
7,uw61867741,2022-07-31T19:50:46.580000Z,46.337,-122.243,earthquake,9.48,1.09,ml,0.152,0.51,0.37,CC,BH,USFR,--,46.2153,-122.233,1341.8,"bucket1$7,:3,:15001",100,2022-07-31T19:49:56.580000Z,5577.0,5307.0,0.15,0.06,positive,emergent,impulsive,9.664|17.310|19.197,2022.0,eq,1.09,0.152322408336,0.86,0.212530862361,
8,uw61886697,2022-11-21T20:29:13.560000Z,46.8593333333,-121.7365,earthquake,-1.27,1.55,ml,0.16,0.94,0.18,UW,HH,WPEQ,--,46.6133,-121.405,1807.0,"bucket1$8,:3,:15001",100,2022-11-21T20:28:23.560000Z,6183.0,5670.0,0.15,0.03,positive,emergent,impulsive,-0.255|0.870|4.329,2022.0,eq,1.55,0.160407460501,1.51,0.285320130973,
9,uw61799962,2021-12-30T21:16:43.120000Z,47.581,-123.298,earthquake,43.95,1.64,ml,0.296,0.79,0.46,UW,HH,EAGLE,--,47.2577,-122.998,58.3,"bucket1$9,:3,:15001",100,2021-12-30T21:15:53.120000Z,6727.0,5942.0,0.06,0.06,positive,impulsive,impulsive,-2.507|1.673|-4.718,2021.0,eq,1.64,0.295707803829,1.23,0.129787640066,
10,uw61511386,2019-02-09T19:25:37.630000Z,46.241,-122.11,earthquake,7.44,1.88,ml,0.125,0.29,0.2,CC,BH,STD,--,46.2375,-122.224,1189.0,"bucket1$10,:3,:15001",100,2019-02-09T19:24:47.630000Z,5415.0,5233.0,0.03,0.06,undecidable,impulsive,impulsive,17.312|28.695|20.688,2019.0,eq,1.88,0.124880093794,1.91,0.353148618949,
11,uw10774998,2009-05-17T15:59:25.480000Z,47.441,-121.837,earthquake,20.525,2.14,ml,0.154,0.28,0.064,UW,BH,GNW,--,47.5641,-122.825,220.0,"bucket1$11,:3,:15001",100,2009-05-17T15:58:35.480000Z,7195.0,6232.0,0.06,0.04,undecidable,,,10.895|9.58|7.348,2009.0,eq,2.14,0.154,2.3,0.03,
12,uw61691897,2020-11-19T21:01:48.100000Z,46.571,-122.738,earthquake,22.43,2.87,ml,0.188,0.46,0.19,CC,BH,PR05,--,46.8417,-121.949,1553.0,"bucket1$12,:3,:15001",100,2020-11-19T21:00:58.100000Z,7006.0,6128.0,0.15,0.06,negative,emergent,impulsive,32.619|27.979|19.629,2020.0,eq,2.87,0.18810330704,3.04,0.261987898281,
13,uw61790042,2021-11-19T01:15:27.670000Z,47.339,-121.998,earthquake,19.45,1.47,ml,0.135,0.5,0.37,UW,HH,COWS,--,47.6656,-121.931,133.2,"bucket1$13,:3,:15001",100,2021-11-19T01:14:37.670000Z,6302.0,5717.0,0.15,0.15,undecidable,emergent,emergent,1.65|-4.833|0.659,2021.0,eq,1.47,0.134581510444,1.31,0.225725645882,
14,uw61635861,2020-06-02T17:52:28.790000Z,48.315,-121.888,earthquake,4.16,0.6,ml,0.122,18.85,1.28,UW,HH,BERY,--,48.2641,-122.096,149.6,"bucket1$14,:3,:15001",100,2020-06-02T17:51:38.790000Z,5571.0,5276.0,0.06,0.3,undecidable,impulsive,emergent,2.0|11.96|5.55,2020.0,eq,0.6,0.122416594856,0.48,0.123633061556,
15,uw61537417,2019-07-20T09:22:46.390000Z,45.589,-121.751,earthquake,4.8,1.02,ml,0.248,1.19,0.54,UW,HH,KREP,--,45.8852,-121.46,472.0,"bucket1$15,:3,:15001",100,2019-07-20T09:21:56.390000Z,6227.0,5652.0,0.06,0.15,undecidable,impulsive,emergent,12.637|9.155|10.326,2019.0,eq,1.02,0.248287112639,0.57,0.102215488009,
16,uw60949862,2015-01-23T13:47:51.860000Z,45.711,-118.55,earthquake,20.01,3.72,ml,0.24,0.67,0.46,US,BH,HAWA,00,46.3925,-119.533,364.0,"bucket1$16,:3,:15001",100,2015-01-23T13:47:01.860000Z,8091.0,6748.0,0.15,0.06,negative,emergent,impulsive,32.299|32.991|22.968,2015.0,eq,3.72,0.24,3.88,0.384,
17,uw61886422,2022-11-20T10:47:20.160000Z,46.107,-122.153666667,earthquake,4.69,0.4,ml,0.107,0.99,0.74,CC,BH,REM,--,46.2002,-122.186,1905.4,"bucket1$17,:3,:15001",100,2022-11-20T10:46:30.160000Z,5482.0,5258.0,0.15,0.03,positive,emergent,impulsive,1.058|2.934|9.869,2022.0,eq,0.4,0.106865267748,0.74,0.0684744598847,
